Cycle,IF,ID,EX,MEM,WB,Event
167,"ADDI t1, t1, 1","ADDI t0, t0, 1","BUBBLE","BUBBLE","BUBBLE",""
168,"ADDI t1, t1, 1","BUBBLE","ADDI t0, t0, 1","BUBBLE","BUBBLE",""
169,"ADDI t1, t1, 1","BUBBLE","BUBBLE","ADDI t0, t0, 1","BUBBLE",""
170,"ADDI t1, t1, 1","BUBBLE","BUBBLE","BUBBLE","ADDI t0, t0, 1",""
171,"ADDI t2, t2, -1","ADDI t1, t1, 1","BUBBLE","BUBBLE","BUBBLE",""
172,"ADDI t2, t2, -1","BUBBLE","ADDI t1, t1, 1","BUBBLE","BUBBLE",""
173,"ADDI t2, t2, -1","BUBBLE","BUBBLE","ADDI t1, t1, 1","BUBBLE",""
174,"ADDI t2, t2, -1","BUBBLE","BUBBLE","BUBBLE","ADDI t1, t1, 1",""
175,"JMP  LOOP_ZMUL","ADDI t2, t2, -1","BUBBLE","BUBBLE","BUBBLE",""
176,"JMP  LOOP_ZMUL","BUBBLE","ADDI t2, t2, -1","BUBBLE","BUBBLE",""
177,"JMP  LOOP_ZMUL","BUBBLE","BUBBLE","ADDI t2, t2, -1","BUBBLE",""
178,"JMP  LOOP_ZMUL","BUBBLE","BUBBLE","BUBBLE","ADDI t2, t2, -1",""
179,"MOV  s0, 120","JMP  LOOP_ZMUL","BUBBLE","BUBBLE","BUBBLE",""
180,"MOV  s0, 120","BUBBLE","JMP  LOOP_ZMUL","BUBBLE","BUBBLE",""
181,"LW   t3, 0(t0)","BZERO t2, PART2","BUBBLE","BUBBLE","BUBBLE",""
182,"LW   t3, 0(t0)","BUBBLE","BZERO t2, PART2","BUBBLE","BUBBLE",""
183,"LW   t3, 0(t0)","BUBBLE","BUBBLE","BZERO t2, PART2","BUBBLE",""
184,"LW   t3, 0(t0)","BUBBLE","BUBBLE","BUBBLE","BZERO t2, PART2",""
185,"LW   t4, 0(t1)","LW   t3, 0(t0)","BUBBLE","BUBBLE","BUBBLE",""
186,"LW   t4, 0(t1)","BUBBLE","LW   t3, 0(t0)","BUBBLE","BUBBLE",""
187,"LW   t4, 0(t1)","BUBBLE","BUBBLE","LW   t3, 0(t0)","BUBBLE",""
188,"LW   t4, 0(t1)","BUBBLE","BUBBLE","BUBBLE","LW   t3, 0(t0)",""
189,"ZMUL t3, t3, t4","LW   t4, 0(t1)","BUBBLE","BUBBLE","BUBBLE",""
